"label","Bipartite","LonX","LatY"
"poi1",1,682812.133442633,418009.042460276
"poi2",1,681756.20760565,417955.991563087
"poi3",1,680188.108277206,425550.91653471
"poi4",1,668014.187223521,409229.042381638
"poi5",1,679535.75193992,418883.02582765
"poi6",1,680234.344574802,425487.380426855
"poi7",1,677788.499820863,420373.880742831
"poi8",1,679701.571417261,416896.199619639
"poi9",1,681297.851118408,415186.961021072
"poi10",1,681832.941234393,416321.5100129
"poi11",1,670077.542121424,409223.814360269
"poi12",1,678303.602715496,419785.989813941
"poi13",1,681041.576761974,425484.962812683
"poi14",1,682204.414401319,417158.162902054
"poi15",1,676870.780856468,416307.170493803
"poi16",1,674858.018659225,415061.435245443
"poi17",1,679066.179312085,416597.454628338
"poi18",1,679435.127894224,418175.205017188
"poi19",1,681568.443499898,416173.067873034
"poi20",1,681260.927953535,421061.157167207
"poi21",1,674323.359702356,415974.631776957
"poi22",1,679195.994290738,416312.914450195
"poi23",1,679480.613740401,419686.674005853
"poi24",1,679093.277281685,416068.919914477
"poi25",1,676885.640083296,419383.172713972
"poi26",1,677173.92791233,422048.278224872
"poi27",1,676886.863481975,414644.845638713
"poi28",1,679674.469157592,418829.382615578
"poi29",1,677951.67160447,419054.579735036
"poi30",1,678708.68593443,417095.111976907
"poi31",1,678149.110022662,415323.071143879
"poi32",1,679065.70744596,422840.594154821
"poi33",1,679692.870894923,417204.541811059
"poi34",1,680590.509685975,416262.95443641
"poi35",1,677177.350856924,422163.17158821
"poi36",1,678923.598657169,419823.196242635
"poi37",1,682053.710170362,417113.638227995
"poi38",1,679087.285236455,421493.228082356
"poi39",1,682849.80588108,420519.930282448
"poi40",1,671375.157699308,422687.346855107
"poi41",1,679520.787445111,423428.974923698
"poi42",1,679952.101454212,418858.186066211
"poi43",1,682771.126446647,418741.662341889
"poi44",1,673771.535680398,423644.253954064
"poi45",1,668435.785950246,405300.746465304
"poi46",1,671295.354215301,422503.033403917
"poi47",1,683065.328744492,423463.16401779
"poi48",1,678722.261214545,418489.528060205
"poi49",1,682714.52451765,418376.545207127
"poi50",1,668758.255458167,416907.870537393
"poi51",1,678672.454392245,408195.446758348
"poi52",1,678697.687042124,420550.369751901
"poi53",1,680201.568484437,425703.832270053
"poi54",1,677668.721718518,412627.910065428
"poi55",1,674938.179283904,413901.01808498
"poi56",1,683109.386277333,413881.426705615
"poi57",1,680224.448634885,425891.886702547
"poi58",1,674993.832235393,422408.434113629
"poi59",1,679895.113673496,419196.242946955
"poi60",1,680084.405278404,416438.564794852
"poi61",1,686129.431252143,417346.519884265
"poi62",1,679145.482652635,416896.732214831
